region,Crime
Alaska,635.8
Nevada,635.6
Tennessee,608.4
New Mexico,597.4
Florida,540.5
Louisiana,514.7
South Carolina,497.7
Delaware,489.1
District of Columbia,
Arkansas,480.1
Maryland,446.1
Missouri,442.9
Alabama,427.4
Michigan,427.3
Oklahoma,406
Texas,405.9
Arizona,399.9
California,396.1
Massachussets,391.4
New York,381.8
Georgia,377.3
Illinois,370
Indiana,365.3
Kansas,348.6
North Carolina,329.5
South Dakota,326.5
Montana,323.7
Pennsylvania,314.1
Colorado,309.1
West Virginia,302
Wisconsin,290.3
Washington,285.2
Ohio,284.9
Nebraska,280.4
Mississippi,278.5
Iowa,273.5
North Dakota,265.1
New Jersey,261.2
Hawaii,259.2
Connecticut,236.9
Oregon,232.3
Minnesota,229.1
Rhode Island,219.2
Utah,215.6
Idaho,212.2
Kentucky,211.6
Virginia,196.2
New Hampshire,196.1
Wyoming,195.5
Maine,127.8
Vermont,99.3
