region,Unemployment
Alabama,6.2
Alaska,6.7
Arizona,4.8
Arkansas,3.9
California,5.2
Colorado,3
Connecticut,4.4
Delaware,4.3
District of Columbia,5.8
Florida,4.9
Georgia,5.4
Hawaii,2.9
Idaho,3.7
Illinois,5.7
Indiana,4
Iowa,3.6
Kansas,4.2
Kentucky,4.8
Louisiana,6.1
Maine,3.8
Maryland,4.2
Massachusetts,2.8
Michigan,5
Minnesota,3.9
Mississippi,5.6
Missouri,4.4
Montana,4
Nebraska,3.4
Nevada,5.1
New Hampshire,2.6
New Jersey,4.7
New Mexico,6.6
New York,4.9
North Carolina,5.1
North Dakota,3
Ohio,4.9
Oklahoma,5
Oregon,4.6
Pennsylvania,5.6
Rhode Island,5
South Carolina,4.3
South Dakota,2.8
Tennessee,4.9
Texas,4.6
Utah,3.1
Vermont,3.1
Virginia,4.1
Washington,5.2
West Virginia,5.9
Wisconsin,4
Wyoming,4.8
